OBJECTID_1,INSTALLATION_YEAR,LOCATION_X,LOCATION_Y,LAT,LONG
80,2016,355541.6319,5015153.4294,45.274506524319,-75.8532932318024
81,2016,369744.7172,5027678.5426,45.386036160498,-75.6706473120435
82,2016,366937.6326,5015978.5319,45.2810160359063,-75.7079595263376
83,2017,355179.0097,5016442.8489,45.2861350746787,-75.8577837086279
84,2017,364420.4781,5016472.8273,45.2856816823845,-75.7399822817718
85,2017,368940.7041,5033559.5951,45.439025907591,-75.6801482926752
86,2017,368467.7019,5033727.5981,45.4405807680161,-75.6861718970325
87,2017,365788.7011,5028572.5521,45.3944358866381,-75.7210508251785
88,2017,385196.9865,5035832.705,45.4577969628226,-75.4720179437763
89,2017,385362.0895,5035434.9919,45.4541997020788,-75.4699723787038
90,2017,384519.9658,5036660.6827,45.4653239080618,-75.480538906695
91,2017,385098.2205,5037072.0018,45.4689583300689,-75.4730781607069
92,2018,382099.5636,5038275.1952,45.4801219323659,-75.5112323651166
93,2018,363078.1827,5014447.8564,45.2675735070448,-75.7573295872942
94,2018,357077.6501,5019519.469,45.3136802869967,-75.8332576365243
95,2018,375060.408,5026379.3532,45.3738336473381,-75.6029581613184
96,2018,372296.643,5024734.3805,45.3593044572862,-75.638464845321
97,2018,369187.6248,5033904.9181,45.4421102895506,-75.6769472823331
98,2018,366457.5666,5029791.6206,45.4053461750582,-75.7123564691069
99,2018,370320.3559,5027353.989,45.3830623294887,-75.6633401935713
100,2018,364383.0396,5014814.1445,45.2707600387945,-75.7406585931138
101,2018,355247.4703,5017343.8596,45.294237638121,-75.8568194192152
102,2017,373137.5475,5023327.0741,45.3465605837324,-75.6279271904201
103,2017,371559.7803,5034377.267,45.446137754831,-75.6465637861296
104,2017,381173.3673,5032911.1441,45.431962446925,-75.5239109945892
105,2018,374702.7818,5000811.0852,45.1438131032272,-75.6111205859586
106,2018,380102.5472,5037040.3376,45.4692299174441,-75.5369625404262
107,2018,384013.7559,5037585.5721,45.4737027943747,-75.4868622268337
108,2018,386800.6649,5036705.436,45.4654625476391,-75.451370646553
109,2018,363494.7484,5028746.0916,45.3961934049216,-75.7503260265239
110,2018,385551.1333,5035981.6066,45.4590957970171,-75.4674659926268
111,2018,384908.026,5035936.374,45.4587628681841,-75.4756952023782
112,2018,386301.2417,5036204.8984,45.4610176584058,-75.4578392178883
113,2018,366575.283,5029221.0848,45.4002022666615,-75.7109243164787
114,2018,370088.5902,5027718.9515,45.386367778133,-75.666251129148
115,2018,365448.3445,5029668.0527,45.4043225108349,-75.7252627627285
116,2018,329171.5656,5028024.2745,45.3917341832137,-76.1887406999814
117,2018,375802.2905,5035087.1641,45.4521069036614,-75.5922330448501
118,2018,367917.4772,5033414.4529,45.437813092382,-75.6932445587282
119,2018,384043.8693,5034856.5216,45.4491458742104,-75.4869170186928
120,2018,363993.1446,5028145.0419,45.3907433124759,-75.7440329663393
121,2018,364060.4104,5012838.1358,45.253007116058,-75.745005609312
122,2018,364170.5168,5015906.2443,45.2806047310616,-75.7432361930693
123,2018,371220.6769,5024639.8315,45.3585564972477,-75.6522097859137
124,2018,363978.8102,5028483.7294,45.393791973515,-75.7441753963446
125,2018,367006.577,5016344.4602,45.2843025306145,-75.7070349381295
126,2018,356756.3775,5022601.3934,45.3414356105662,-75.8370314006883
127,2018,368848.7445,5030891.4214,45.4150270959153,-75.6816705867704
128,2018,370297.1112,5030559.9697,45.4119107522189,-75.6632112991616
129,2018,369698.1107,5034140.6696,45.44418427918,-75.6703914490575
130,2018,364522.86,5026088.087,45.3721902208478,-75.7375173019334
131,2018,375677.6118,5020165.3246,45.3178604215285,-75.595969511235
132,2018,362644.6789,5015944.4411,45.2810756319415,-75.7626791313664
133,2018,384541.0288,5039598.1267,45.4917498078101,-75.4797927277735
134,2018,384705.1759,5039292.5289,45.4889815649833,-75.4777427089162
135,2018,348543.6459,5017628.8563,45.2972514524351,-75.9422603840105
136,2018,383143.7164,5034437.9286,45.4454812130786,-75.498489782209
137,2018,389126.7231,5031866.6531,45.4216514331419,-75.422459277127
138,2018,350746.9693,5023788.9896,45.3525411803669,-75.9135974248751
139,2018,371890.696,5024768.8789,45.3596538259736,-75.6436411346657
140,2019,370245.1777,5029967.4871,45.4065846781091,-75.6639533836234
141,2019,379732.737,5036832.589,45.4674005301438,-75.5417230177842
142,2019,377767.7449,5031503.5559,45.4196615016902,-75.5676391042863
143,2018,360723.6749,5014675.715,45.2698149588439,-75.7873063151953
144,2019,364436.229,5015358.8989,45.2756572308505,-75.7399153621125
145,2019,350067.9372,5019992.949,45.3184276684501,-75.9226104246823
146,2019,352996.0147,5015765.6502,45.2801945444688,-75.8856759928358
147,2019,375179.8088,5031823.4363,45.4228047301638,-75.6006571394406
148,2019,369026.3033,5032917.537,45.4332410604637,-75.6791380368819
149,2018,370196.8332,5032910.302,45.4330674778726,-75.664180305222
150,2019,368609.07,5033043.1825,45.4344097675522,-75.6844537726291
151,2019,363590.0405,5028319.732,45.3923490999509,-75.7491598267869
152,2019,362184.4363,5027374.5961,45.3839614772412,-75.7672199786031
153,2019,362367.5199,5027552.408,45.3855463844234,-75.7648615180653
154,2019,364948.0501,5027679.2192,45.3864705709637,-75.7318955516027
155,2019,370079.8021,5029390.7267,45.4014106431686,-75.6661421456717
156,2019,371064.1541,5029676.1728,45.4038864948484,-75.6535314448712
157,2019,387159.8738,5035824.9202,45.457498310616,-75.4469253467798
158,2019,355913.634,5015513.4329,45.2777189669888,-75.8485152702847
159,2019,356073.1241,5015753.8499,45.279870673874,-75.8464577372955
