Intersection,All_Motorized_Vehicles_AADT_24_,Truck_Percent,Pedestrians_Not_Factored,Bicycles_Not_Factored,Date,X,Y,Lat,Long,ObjectId
CASTLEFRANK RD @ HAZELDEAN RD,25196,0.0246,151,2,2022/01/12 00:00:00+00,352677.8781,5017676.769,45.297413,-75.889546,372
HAZELDEAN RD @ TERRY FOX DR,41158,0.0337,116,5,2022/01/12 00:00:00+00,352207.611,5017242.451,45.293537,-75.895584,373
CHAPEL ST @ DALY AVE,1620,0.0775,493,8,2022/01/19 00:00:00+00,368971.7077,5032505.598,45.42954,-75.679889,374
DOVERCOURT AVE @ GOLDEN AVE,2652,0.0742,356,3,2022/01/19 00:00:00+00,363200.6888,5027246.54,45.382725,-75.754259,375
MOODIE DR @ RICHMOND RD S,9630,0.0565,39,0,2022/01/19 00:00:00+00,357433.6456,5019540.476,45.313843,-75.828715,376
TERRY FOX DR @ 135 S OF HAZELDEAN RD/SOBEY'S S,22604,0.0309,83,2,2022/01/19 00:00:00+00,352292.2135,5017139.577,45.292605,-75.894515,377
HAZELDEAN RD @ SPRINGBROOK DR,20847,0.0507,39,0,2022/01/19 00:00:00+00,349870.5886,5015110.439,45.274506,-75.925571,378
STITTSVILLE MAIN ST @ HAZELDEAN RD,22774,0.0517,81,0,2022/01/19 00:00:00+00,349558.3981,5014878.717,45.272441,-75.929571,379
HAZELDEAN RD @ SOBEYS SC/195 W OF CARP RD,9882,0.0409,14,0,2022/01/19 00:00:00+00,348697.483,5014201.339,45.2664,-75.940602,380
300 S OF WATTERS RD @ TRIM RD,11958,0.0531,35,0,2022/01/19 00:00:00+00,385227.9246,5038518.402,45.481957,-75.471183,381
BELCOURT BLVD @ LOWES SC/210 S OF INNES RD,2820,0.0374,26,2,2022/01/19 00:00:00+00,382208.9013,5035069.235,45.451265,-75.510339,382
INNES RD @ VISENEAU DR,22955,0.0476,78,1,2022/01/19 00:00:00+00,381798.7511,5035073.556,45.45135,-75.515581,383
BRIAN COBURN BLVD @ PAGE RD,8639,0.0339,74,0,2022/01/19 00:00:00+00,381470.81,5033199.085,45.434521,-75.520065,384
125 N OF BRIAN COBURN BLVD/P&R @ NAVAN RD,14802,0.0795,13,0,2022/01/19 00:00:00+00,381056.4953,5032960.22,45.432417,-75.525397,385
252 E OF NAVAN RD/P&R @ BRIAN COBURN BLVD,8748,0.0427,5,0,2022/01/19 00:00:00+00,381347.4645,5033085.755,45.433514,-75.521659,386
BANK ST @ 73 N OF EVANS BLVD,20275,0.0331,67,3,2022/01/20 00:00:00+00,369884.7203,5027115.538,45.380957,-75.668934,387
BANK ST @ RANDALL AVE,21232,0.032,394,4,2022/01/20 00:00:00+00,369739.7252,5027282.544,45.382474,-75.670763,388
FROBISHER LANE W @ RIVERSIDE DR,26039,0.0297,18,2,2022/01/20 00:00:00+00,370118.7151,5029601.226,45.403301,-75.665617,389
RIVERSIDE DR @ PLEASANT PARK RD,32168,0.0302,27,0,2022/01/20 00:00:00+00,369561.251,5028415.014,45.39268,-75.672893,390
RIVERSIDE DR @ RIVERSIDE HOSPITAL,31236,0.0318,13,0,2022/01/20 00:00:00+00,369715.2039,5028627.381,45.394576,-75.670899,391
RIVERSIDE DR @ TRANSITWAY - RIVERSIDE H,28713,0.0306,8,0,2022/01/20 00:00:00+00,369770.3719,5028800.71,45.396131,-75.670172,392
BANK ST @ BILLINGS TRANSIT,21177,0.0512,491,7,2022/01/20 00:00:00+00,369445.0915,5027741.228,45.386628,-75.674465,393
BANK ST @ BELANGER AVE/LAMIRA ST,24984,0.0397,356,9,2022/01/20 00:00:00+00,369653.7199,5027427.548,45.383786,-75.671842,394
HERON RD @ BAYCREST DR,19950,0.0545,83,1,2022/01/20 00:00:00+00,371143.7293,5026979.545,45.379616,-75.652878,395
HALIFAX DR @ WALKLEY RD,26396,0.0625,111,0,2022/01/20 00:00:00+00,373643.737,5027899.543,45.387652,-75.620831,396
BANTON ST @ WALKLEY RD,20424,0.1151,18,0,2022/01/20 00:00:00+00,374247.7367,5028249.537,45.390742,-75.61307,397
WALKLEY RD @ DON REID DR/RYDER ST,31406,0.0683,46,5,2022/01/20 00:00:00+00,372601.7269,5027284.544,45.38222,-75.634221,398
HERON RD @ BRIAR HILL DR/SANDALWOOD DR,16865,0.0486,65,0,2022/01/20 00:00:00+00,371452.7278,5027012.538,45.379883,-75.648928,399
HERON RD @ JEFFERSON ST,18229,0.0495,123,0,2022/01/20 00:00:00+00,371808.7253,5027052.542,45.380209,-75.644378,400
DONALD ST @ 48 E  PAUL EMILE LAMARCHE,7508,0.0313,156,6,2022/02/01 00:00:00+00,371408.8838,5032394.476,45.428312,-75.648761,401
OGILVIE RD @ ELMRIDGE DR/JASMINE CRES N,14739,0.0384,411,1,2022/02/01 00:00:00+00,375420.7301,5034060.578,45.442909,-75.597258,402
ST. LAURENT BLVD @ WALKLEY RD,32630,0.0587,156,2,2022/02/01 00:00:00+00,373902.7501,5028046.855,45.388952,-75.617503,403
DE LA FAMILLE-LAPORTE AVE @ OLD MONTREAL RD,7584,0.1104,5,1,2022/02/01 00:00:00+00,385476.0032,5039900.616,45.494364,-75.467783,404
APPLEFORD ST @ OGILVIE RD,15626,0.038,579,2,2022/02/01 00:00:00+00,375316.7271,5033687.582,45.439563,-75.598641,405
BEAVERPOND DR @ BLAIR RD,14494,0.0465,33,0,2022/02/01 00:00:00+00,375399.7299,5031874.567,45.423243,-75.59784,406
DECOEUR DR/SOUTHFIELD WAY @ TENTH LINE RD,15457,0.0336,104,1,2022/02/01 00:00:00+00,384551.52,5034726.58,45.447919,-75.480449,407
BASELINE RD @ GUTHRIE ST,14805,0.0349,111,3,2022/02/03 00:00:00+00,360242.6766,5022371.5,45.3391,-75.792575,408
GREENBANK RD @ LISA AVE,22765,0.0298,236,1,2022/02/03 00:00:00+00,360554.6751,5022893.492,45.343772,-75.788535,409
BASELINE RD @ SANDCASTLE DR,14544,0.0414,105,0,2022/02/03 00:00:00+00,359629.669,5021987.493,45.335693,-75.800439,410
MORRISON DR @ BASELINE RD,14850,0.0375,73,7,2022/02/03 00:00:00+00,360099.6672,5022309.494,45.338554,-75.794406,411
BLAIR RD @ INNES RD,47392,0.0446,52,1,2022/02/01 00:00:00+00,375578.7349,5031439.555,45.419311,-75.595615,412
BASELINE RD @ MONTEREY DR,14568,0.0399,97,0,2022/02/03 00:00:00+00,359793.6711,5022155.499,45.337192,-75.798328,413
CEDARVIEW RD @ 217 S  OF FALLOWFIELD RD/CEDARV,6369,0.044,132,1,2022/02/02 00:00:00+00,361381.83,5015465.69,45.276871,-75.778829,414
STRANDHERD DR @ 210 W OF WOODROFFE AVE,27952,0.0257,94,2,2022/02/02 00:00:00+00,365924.3431,5015321.475,45.275193,-75.720955,415
FALLOWFIELD RD @ VIA PARK PL/275 W OF WOODROFFE AVE,20036,0.0493,152,9,2022/02/02 00:00:00+00,364847.2373,5017766.021,45.297281,-75.734386,416
AMBERWOOD CRES @ MERIVALE RD,11292,0.0443,70,2,2022/02/02 00:00:00+00,366409.7055,5020016.482,45.317396,-75.714186,417
MARKETPLACE AVE @ TRANSITWAY SOUTHWEST,4760,0.1308,774,2,2022/02/02 00:00:00+00,364203.8081,5014711.89,45.269855,-75.742955,418
HAZELDEAN RD @ CARBROOKE ST/IRWIN GATE,20683,0.0324,117,4,2022/02/03 00:00:00+00,353417.6215,5018265.463,45.302659,-75.880057,419
LIMEBANK RD/RIVERSIDE DR @ RIVER RD,21268,0.0273,6,5,2022/02/02 00:00:00+00,368403.997,5020477.312,45.321364,-75.688693,420
LEITRIM RD @ LIMEBANK RD N,22086,0.0427,14,2,2022/02/02 00:00:00+00,369355.7164,5017877.466,45.297884,-75.676893,421
PRINCE OF WALES DR @ FALLOWFIELD RD,21835,0.023,3,0,2022/02/02 00:00:00+00,367399.71,5019166.47,45.30966,-75.701668,422
300 S OF AMBERWOOD CRES @ PRINCE OF WALES DR,21592,0.0234,29,0,2022/02/02 00:00:00+00,367493.4216,5020373.873,45.320515,-75.70032,423
TERRY FOX DR @ EDGEWATER ST/WALTER BAKER PL,27114,0.0504,28,1,2022/02/03 00:00:00+00,351777.6082,5017613.45,45.296904,-75.90103,424
MAPLE GROVE RD @ TERRY FOX DR,29776,0.0521,26,0,2022/02/03 00:00:00+00,351553.6086,5017864.465,45.299178,-75.903863,425
KATIMAVIK RD @ WHITNEY DR,5371,0.0417,219,2,2022/02/08 00:00:00+00,352357.6218,5019380.461,45.312765,-75.893466,426
OLD CARP RD @ SECOND LINE RD,3263,0.0441,10,1,2022/02/08 00:00:00+00,347766.5992,5023537.502,45.350467,-75.951655,427
BASELINE RD @ GREENBANK RD,46939,0.0262,360,12,2022/02/08 00:00:00+00,360597.6843,5022584.5,45.340989,-75.788022,428
MARCH RD @ MORGAN'S GRANT WAY/SHIRLEY'S BROOK ,22169,0.0323,118,2,2022/02/08 00:00:00+00,349661.6092,5023617.51,45.351068,-75.927464,429
MARCH RD @ SOLANDT RD,28092,0.0355,28,1,2022/02/08 00:00:00+00,350489.6085,5022710.502,45.342854,-75.916981,430
RENAUD RD @ MER BLEUE RD,9461,0.0618,7,1,2022/02/15 00:00:00+00,383448.7696,5033734.537,45.439118,-75.494703,431
BROADVIEW AVE @ AVONDALE AVE,3019,0,1764,7,2022/02/08 00:00:00+00,362917.6889,5027281.544,45.383064,-75.757868,432
GRENON AVE @ RICHMOND RD,13624,0.0408,172,2,2022/02/09 00:00:00+00,359806.6705,5024033.51,45.354089,-75.797953,433
BASELINE RD @ 180 E OF CEDARVIEW RD,14843,0.0374,38,3,2022/02/10 00:00:00+00,359144.5948,5021689.317,45.333048,-75.80666,434
GREENBANK RD @ BELLMAN DR/BATEMAN DR,22596,0.0252,556,2,2022/02/10 00:00:00+00,361256.6755,5021017.489,45.326836,-75.779792,435
GREENBANK RD @ 207 S OF BELLMAN DR/GREENBANK S,24021,0.0216,145,1,2022/02/10 00:00:00+00,361337.6796,5020827.48,45.32512,-75.778781,436
PRINCE OF WALES DR @ 187 N OF HOG'S BACK RD/CH,12236,0.0527,467,4,2022/02/08 00:00:00+00,367286.19,5025856.89,45.369869,-75.70227,437
MEADOWLANDS DR @ TIVERTON DR,11876,0.0296,391,4,2022/02/08 00:00:00+00,365204.929,5024343.973,45.356439,-75.729023,438
DEER PARK RD @ MEADOWLANDS DR,10654,0.0335,173,1,2022/02/08 00:00:00+00,365978.9321,5024860.7,45.361021,-75.719081,439
CENTREPOINTE DR @ TALLWOOD DR,8148,0.0255,139,0,2022/02/08 00:00:00+00,362670.693,5022576.5,45.340749,-75.761573,440
CENTREPOINTE DR @ 50 S OF MARBLE ARCH/REC PATH,2972,0.0411,320,7,2022/02/08 00:00:00+00,361885.4828,5022441.797,45.339601,-75.771607,441
CENTREPOINTE DR @ REC PATH BEN FRANKLIN PL,7287,0.02,274,5,2022/02/08 00:00:00+00,362422.32,5023031.93,45.344867,-75.764689,442
CARLINGWOOD SC/118 N OF CARLING AVE @ IROQUOIS RD,3489,0.0308,182,1,2022/02/09 00:00:00+00,362208.983,5026144.048,45.372887,-75.76705,443
NORICE ST @ WOODROFFE AVE,32046,0.0402,49,1,2022/02/15 00:00:00+00,363194.684,5022397.492,45.339095,-75.754909,444
GREENBANK RD @ HARRISON ST/ASHGROVE CRES,24991,0.0241,281,4,2022/02/10 00:00:00+00,360839.6817,5022007.495,45.335777,-75.784999,445
GREENBANK RD @ CANFIELD RD/CRAIG HENRY DR,24212,0.0249,604,7,2022/02/10 00:00:00+00,361106.6798,5021364.492,45.32997,-75.781666,446
BASELINE RD @ JOHN SUTHERLAND DR/VALLEY STREAM,16564,0.0413,147,2,2022/02/10 00:00:00+00,359310.6671,5021789.491,45.333936,-75.80453,447
HOLLAND AVE @ SHERWOOD DR,9363,0.0733,94,4,2022/02/15 00:00:00+00,365149.7006,5028648.556,45.395175,-75.729202,448
CARLING AVE @ SHERWOOD DR,17396,0.052,280,17,2022/02/15 00:00:00+00,366485.7056,5028717.552,45.39568,-75.712131,449
FISHER AVE @ DEER PARK RD/DYNES RD,17538,0.0326,229,4,2022/02/08 00:00:00+00,366407.7095,5025455.527,45.366335,-75.713535,450
CLAYMOR AVE @ DYNES RD,2705,0.0222,327,0,2022/02/08 00:00:00+00,366743.713,5025670.528,45.36824,-75.709219,451
MCCARTHY RD @ PLANTE DR N,7600,0.0319,92,4,2022/02/15 00:00:00+00,369605.7147,5024193.506,45.354692,-75.672879,452
MCCARTHY RD @ PAUL ANKA DR,7569,0.0471,178,1,2022/02/15 00:00:00+00,369699.7208,5023876.505,45.351831,-75.671721,453
CARLING AVE @ KEMPSTER AVE/FAMOUS PLAYERS THEA,15644,0.0217,407,9,2022/02/09 00:00:00+00,359210.6717,5024119.508,45.35491,-75.80555,454
WALKLEY RD @ SPRINGLAND DR/OTTERSON DR,14723,0.027,118,0,2022/02/15 00:00:00+00,368721.7176,5024982.512,45.361872,-75.684059,455
TRIM RD @ TRIM RD,9677,0.0559,93,3,2022/02/15 00:00:00+00,386221.42,5038049.59,45.477624,-75.458554,456
FISHER AVE @ VIEWMOUNT DR,16030,0.0287,21,4,2022/02/15 00:00:00+00,366918.7093,5024209.507,45.355079,-75.707168,457
PRINCE OF WALES DR @ NORMANDY CRES S/KOCHAR DR,16349,0.0511,77,5,2022/02/15 00:00:00+00,367446.709,5024562.521,45.358208,-75.700385,458
PRINCE OF WALES DR @ FALAISE RD/KOCHAR DR N,16872,0.0479,121,4,2022/02/15 00:00:00+00,367460.7064,5024904.514,45.361284,-75.700163,459
FISHER AVE @ PRINCE OF WALES DR,26703,0.0395,2,1,2022/02/15 00:00:00+00,367161.7048,5023942.511,45.352655,-75.704101,460
CRAIG HENRY DR @ KNOXDALE RD,8882,0.0336,34,1,2022/02/16 00:00:00+00,363116.6879,5021655.491,45.332425,-75.755991,461
BASELINE RD @ CENTREPOINTE DR W/COBDEN RD,29838,0.0226,130,11,2022/02/16 00:00:00+00,361633.6814,5023207.51,45.346511,-75.774732,462
KNOXDALE RD @ SKIPTON RD,4498,0.0409,235,5,2022/02/16 00:00:00+00,362126.6751,5021087.486,45.327395,-75.768687,463
BASELINE RD @ NAVAHO DR,30126,0.0248,790,5,2022/02/16 00:00:00+00,363085.6907,5024097.506,45.3544,-75.756099,464
NAVAHO DR @ WOODROFFE AVE/TRANSITWAY N BASELIN,31218,0.0289,848,8,2022/02/16 00:00:00+00,362706.2419,5023492.801,45.348991,-75.761012,465
BANNER RD @ GREENBANK RD,28448,0.0231,460,6,2022/02/16 00:00:00+00,361021.6726,5021566.492,45.331795,-75.782728,466
ENTERPRISE AVE @ MERIVALE RD,22122,0.0641,72,0,2022/02/15 00:00:00+00,365829.7002,5021418.488,45.330061,-75.721411,467
WEST HUNT CLUB RD @ 354 E OF WOODROFFE AVE/REC,31811,0.0481,30,0,2022/02/15 00:00:00+00,363982.687,5021424.489,45.330274,-75.744971,468
225 E OF RIVERSIDE DR / T & T SC @ HUNT CLUB RD,33089,0.0463,45,3,2022/02/15 00:00:00+00,368235.7,5022055.98,45.335584,-75.690637,469
CARLING AVE @ SCRIVENS ST,15992,0.0255,385,10,2022/02/09 00:00:00+00,359423.668,5024258.512,45.356144,-75.802816,470
CARLING AVE @ CROYDON AVE,23979,0.0374,285,2,2022/02/09 00:00:00+00,360658.6806,5025042.518,45.363101,-75.786966,471
CARLING AVE @ GRENON AVE,16282,0.0264,597,5,2022/02/09 00:00:00+00,359593.6659,5024350.511,45.356958,-75.800636,472
MAJESTIC DR @ WOODROFFE AVE,27772,0.0431,74,3,2022/02/16 00:00:00+00,363527.6934,5021571.492,45.331634,-75.750758,473
LONGFIELDS DR @ VIA MODUGNO PL,9210,0.0142,421,3,2022/02/16 00:00:00+00,364072.33,5016337.099,45.28449,-75.744436,474
